ID,total_pop,med_wage,sqmi,pop_density,ed_2_above_req_percent,IND,NATIVITY
400701,29314,40571.475,9943.607698,2.948024589,0.069352528,1,0
400803,52742,50975.9,554.5447952,95.10863767,0.085472678,1,0
400805,35506,46298.46,3110.322875,11.41553512,0.079986481,1,0
400807,56700,47526.585,1670.064934,33.95077571,0.087530864,1,0
400900,47950,42819.756,7453.968304,6.432815119,0.102586027,1,0
401000,42070,39412.29,21177.93872,1.986501168,0.068647492,1,0
401101,36392,40571.475,85.98544751,423.2344083,0.091118927,1,0
401901,35209,40780.72,7099.023334,4.959696333,0.089834985,1,0
401902,51642,50975.9,302.3182131,170.8200094,0.102242361,1,0
401903,37378,54265.4,239.3022118,156.1957983,0.138236396,1,0
401904,34811,64229.634,346.7909948,100.3803459,0.149435523,1,0
401905,32455,57682.32775,1073.327004,30.23775595,0.111076876,1,0
401906,41488,44685.344,26.58070036,1560.83171,0.119697262,1,0
401907,48255,33815.936,21.61204168,2232.783034,0.113273236,1,0
401908,39487,35614.2,54.58117688,723.4545361,0.064274318,1,0
401909,46797,43382.9195,66.81248218,700.4230119,0.094279548,1,0
402502,38196,43477.632,1446.221335,26.41089512,0.09226097,1,0
402503,28159,42232.127,6681.06449,4.214747521,0.084413509,1,0
500101,69375,53421.3,812.0340106,85.43361373,0.137124324,1,0
500102,50417,54034.454,72.29093423,697.418017,0.111232322,1,0
500201,55704,45885.683,815.7741455,68.28360559,0.089670401,1,0
500202,46081,40780.72,136.4826132,337.6327498,0.125735119,1,0
500300,45866,37093.92,4796.456999,9.56247497,0.088758558,1,0
500400,34888,36850.906,3901.5375,8.942115768,0.07059734,1,0
500500,37685,38741.684,3075.577061,12.25298513,0.094334616,1,0
500600,46275,40989.1598,4188.69921,11.04758248,0.070837385,1,0
500700,48751,41241.704,1476.344483,33.02142594,0.113207934,1,0
500800,37847,38129.9732,3574.360912,10.58846628,0.085554998,1,0
500900,79026,46367.4,1467.468046,53.85193921,0.118809,1,0
501000,45071,39071.088,3029.549139,14.87713119,0.077744004,1,0
501100,72059,41549.9,1770.269092,40.70511106,0.080503476,1,0
501200,41861,39152.7444,4868.498907,8.598338174,0.06189532,1,0
501300,56206,37988.48,3654.513719,15.3798848,0.082642423,1,0
501400,57675,48838.86,1924.269648,29.9724106,0.105192891,1,0
501501,72648,48308.48,679.2345598,106.9556885,0.109679551,1,0
501502,77206,50723.904,128.1011021,602.6958296,0.146607777,1,0
501600,50694,40571.475,7056.484705,7.18403031,0.063340829,1,0
501700,40918,41730.66,5770.048087,7.091448699,0.069700376,1,0
600101,56738,80725.52,12.31114028,4608.671391,0.193609221,1,0
600111,51514,81142.95,10.71812829,4806.249618,0.177039251,1,0
